,CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD,M_LAT,M_LON
0,1,"AGUASCALIENTES, AGUASCALIENTES",1,AGUASCALIENTES,21.880487,-102.2967195
1,2,"ASIENTOS, AGUASCALIENTES",1,AGUASCALIENTES,22.1321072,-102.09525589618855
2,3,"CALVILLO, AGUASCALIENTES",1,AGUASCALIENTES,21.8465121,-102.7185731
3,4,"COSÍO, AGUASCALIENTES",1,AGUASCALIENTES,22.3705155,-102.31200851052341
4,5,"JESÚS MARÍA, AGUASCALIENTES",1,AGUASCALIENTES,21.934555500000002,-102.46845171651151
5,6,"PABELLÓN DE ARTEAGA, AGUASCALIENTES",1,AGUASCALIENTES,22.1049335,-102.30162449267488
6,7,"RINCÓN DE ROMOS, AGUASCALIENTES",1,AGUASCALIENTES,22.2293637,-102.3229846
7,8,"SAN JOSÉ DE GRACIA, AGUASCALIENTES",1,AGUASCALIENTES,22.1426267,-102.53013573250765
8,9,"TEPEZALÁ, AGUASCALIENTES",1,AGUASCALIENTES,22.2435163,-102.19272117494602
9,10,"EL LLANO, AGUASCALIENTES",1,AGUASCALIENTES,21.928669550000002,-102.00072765450251
10,11,"SAN FRANCISCO DE LOS ROMO, AGUASCALIENTES",1,AGUASCALIENTES,22.02194665,-102.25177759390428
11,999,"NO ESPECIFICADO, AGUASCALIENTES",1,AGUASCALIENTES,,
12,1,"ENSENADA, BAJA CALIFORNIA",2,BAJA CALIFORNIA,31.8658887,-116.602983
13,2,"MEXICALI, BAJA CALIFORNIA",2,BAJA CALIFORNIA,32.6405247,-115.474899
14,3,"TECATE, BAJA CALIFORNIA",2,BAJA CALIFORNIA,32.5653831,-116.6298787
15,4,"TIJUANA, BAJA CALIFORNIA",2,BAJA CALIFORNIA,32.5317397,-117.019529
16,5,"PLAYAS DE ROSARITO, BAJA CALIFORNIA",2,BAJA CALIFORNIA,32.365166,-117.0557923
17,999,"NO ESPECIFICADO, BAJA CALIFORNIA",2,BAJA CALIFORNIA,,
18,1,"COMONDÚ, BAJA CALIFORNIA SUR",3,BAJA CALIFORNIA SUR,25.44713025,-111.70871318116792
19,2,"MULEGÉ, BAJA CALIFORNIA SUR",3,BAJA CALIFORNIA SUR,26.891329,-111.982641
20,3,"LA PAZ, BAJA CALIFORNIA SUR",3,BAJA CALIFORNIA SUR,24.1619948,-110.3158532
